sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
0,1903370310,4520,1642222173,33.524849,991.798645,38.677727,268062.8125,0,1,0,0
1,1903376405,4553,1642222173,33.457443,992.057922,39.235584,358794.6875,0,1,0,0
2,1903386950,4557,1642222173,33.828384,991.591248,37.582043,181110.7188,0,1,0,0
3,1903384649,4561,1642222173,33.94775,991.773743,37.584164,340538.75,0,1,0,0
4,1903401543,4565,1642222173,33.814854,991.42804,37.038174,457142.8438,0,1,0,0
5,1903406917,4568,1642222173,33.762398,991.683044,37.406788,358794.6875,0,1,0,0
6,1903394118,4572,1642222173,34.14949,991.377869,36.356045,163421.6406,0,1,0,0
7,1903382597,4576,1642222173,33.940918,991.464844,36.965202,150588.2344,0,1,0,0
0,1903370310,4799,1642222173,33.444012,991.871704,38.650791,26235388,1,1,0,0
1,1903376405,4833,1642222173,33.381935,992.142273,39.186188,53762100,1,1,0,0
2,1903386950,4837,1642222173,33.848618,991.681519,37.584244,14797020,1,1,0,0
3,1903384649,4841,1642222173,33.995728,991.884521,37.536221,41011264,1,1,0,0
4,1903401543,4845,1642222173,33.824883,991.513733,37.021713,63627184,1,1,0,0
5,1903406917,4848,1642222173,33.79496,991.755066,37.358047,49865704,1,1,0,0
6,1903394118,4852,1642222173,34.134426,991.482849,36.460682,16298433,1,1,0,0
7,1903382597,4856,1642222173,33.951099,991.567688,36.495159,11433357,1,1,0,0
0,1903370310,6199,1642222175,33.734509,991.857422,38.246609,25220704,2,1,0,0
1,1903376405,6233,1642222175,33.784657,992.137085,38.799168,50911632,2,1,0,0
2,1903386950,6237,1642222175,34.197639,991.700317,37.183197,14406683,2,1,0,0
3,1903384649,6241,1642222175,34.371956,991.86261,37.134365,39598792,2,1,0,0
4,1903401543,6245,1642222175,34.218681,991.500671,36.660816,60751796,2,1,0,0
5,1903406917,6248,1642222175,34.168221,991.741638,36.893711,45400764,2,1,0,0
6,1903394118,6252,1642222175,34.578793,991.504333,36.029987,14959142,2,1,0,0
7,1903382597,6256,1642222175,34.345509,991.599792,36.307762,10875539,2,1,0,0
0,1903370310,10399,1642222179,34.136158,991.897766,36.537254,23430818,3,1,0,0
1,1903376405,10433,1642222179,34.28051,992.169983,37.059624,46217208,3,1,0,0
2,1903386950,10437,1642222179,34.675644,991.720703,35.488499,13473684,3,1,0,0
3,1903384649,10441,1642222179,34.909794,991.866089,35.349304,36735428,3,1,0,0
4,1903401543,10445,1642222179,34.778023,991.522095,35.051865,55858512,3,1,0,0
5,1903406917,10448,1642222179,34.686783,991.733398,35.293324,40972804,3,1,0,0
6,1903394118,10452,1642222179,35.249115,991.546997,34.445099,13212903,3,1,0,0
7,1903382597,10456,1642222179,34.961296,991.653748,34.686905,9732106,3,1,0,0
0,1903370310,11099,1642222179,34.696949,991.87738,36.37822,1691513.5,4,1,0,0
1,1903376405,11133,1642222179,34.851875,992.129272,36.878605,2681505.75,4,1,0,0
2,1903386950,11137,1642222179,35.22953,991.685608,35.288086,1115164.75,4,1,0,0
3,1903384649,11141,1642222179,35.503181,991.858948,35.136765,2187450,4,1,0,0
4,1903401543,11145,1642222179,35.364964,991.507874,34.898483,3255961.75,4,1,0,0
5,1903406917,11148,1642222179,35.267975,991.738403,35.147015,2689428.75,4,1,0,0
6,1903394118,11152,1642222179,35.846634,991.515686,34.295834,1001467,4,1,0,0
7,1903382597,11156,1642222179,35.541466,991.61084,34.536724,870008.5,4,1,0,0
0,1903370310,11799,1642222180,35.075863,991.899841,36.182087,1604072.875,5,1,0,0
1,1903376405,11833,1642222180,35.236984,992.147461,36.642895,2553616,5,1,0,0
2,1903386950,11837,1642222180,35.616493,991.674927,35.187611,1064725.75,5,1,0,0
3,1903384649,11841,1642222180,35.932446,991.882812,34.930519,2076026.375,5,1,0,0
4,1903401543,11845,1642222180,35.781338,991.495911,34.663864,3136294,5,1,0,0
5,1903406917,11848,1642222180,35.678818,991.749695,34.9543,2589946.25,5,1,0,0
6,1903394118,11852,1642222180,36.275948,991.556702,34.094337,970156.3125,5,1,0,0
7,1903382597,11856,1642222180,35.96133,991.627075,34.317684,837970.5625,5,1,0,0
0,1903370310,12499,1642222181,35.232483,991.887146,35.927032,1527788.125,6,1,0,0
1,1903376405,12533,1642222181,35.42828,992.139954,36.375004,2472683.25,6,1,0,0
2,1903386950,12537,1642222181,35.798592,991.670776,34.866531,1029404.375,6,1,0,0
3,1903384649,12541,1642222181,36.136978,991.874329,34.636971,2002934,6,1,0,0
4,1903401543,12545,1642222181,35.999565,991.52655,34.426308,2967041,6,1,0,0
5,1903406917,12548,1642222181,35.884239,991.74176,34.68306,2509035.25,6,1,0,0
